operation,language,kernel_name,duration_us,timestamp,grid_size,block_size,registers_per_thread,shared_mem_bytes,static_shared_mem_bytes,dynamic_shared_mem_bytes,occupancy,memory_throughput_gbps,compute_throughput_pct,l1_hit_rate,l1_bytes_total,l1_utilization,l2_hit_rate,l2_bytes_total,l2_bytes_miss,l2_utilization,dram_read_bytes,dram_write_bytes,dram_utilization,global_load_efficiency,global_store_efficiency,global_load_transactions,global_store_transactions,shared_utilization,shared_bank_conflicts
matmul,rust,tiled_matmul,348.781,2026-09-10T01:15:52.464641,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.554,2026-09-10T01:15:52.464648,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.455,2026-09-10T01:15:52.464655,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.618,2026-09-10T01:15:52.464663,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.911,2026-09-10T01:15:52.464670,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,347.935,2026-09-10T01:15:52.464678,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.521,2026-09-10T01:15:52.464685,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.553,2026-09-10T01:15:52.464692,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.163,2026-09-10T01:15:52.464700,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,347.773,2026-09-10T01:15:52.464707,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
matmul,rust,tiled_matmul,348.001,2026-09-10T01:15:52.464714,"64,64,1","16,16,1",37,2048,2048,0,,,,,,,,,,,,,,,,,,,
